Crop_Type,Temperature,Humidity,Soil_pH,Crop_Yield
Wheat,9.441,80,5.5,0
Corn,20.053,79.947,6.5,104.871
Rice,12.143,80,5.5,0
Potato,18.896,80,5.5,54.26
Wheat,16.044,80,5.5,28.724
Corn,15.984,80,6.25,51.656
Rice,14.422,80,5.5,0
Potato,19.063,80,8,52.59
Wheat,1.901,80,6.5,0
Corn,13.505,80,5.5,22.325
Rice,12.328,80,8,0
Potato,10.648,80,6.75,3.266
Wheat,16.075,80,6.5,50.067
Corn,22.02,77.98,6.75,46.616
Rice,11.208,80,6.25,0
Potato,12.918,80,8,18.279
Wheat,10.403,80,6.75,2.152
Corn,13.39,80,6.25,23.579
Rice,15.065,80,6.25,0.567
Potato,14.976,80,6.75,27.501
Wheat,26.367,73.633,5.5,20.602
Corn,7.509,80,8,0
Rice,15.065,80,6.5,0.69
Potato,18.176,80,6.25,51.32
Wheat,17.093,80,6.75,33.698
Corn,17.339,80,6.25,59.711
Rice,9.084,80,8,0
Potato,21.817,78.183,6.5,74.576
Wheat,10.712,80,5.5,4.598
Corn,11.613,80,6.75,9.94
Rice,13.403,80,6.25,0
Potato,15.009,80,6.25,43.158
Wheat,18.039,80,6.5,65.589
Corn,16.021,80,8,38.947
Rice,17.507,80,6.5,25.5
Potato,24.352,75.648,6.75,30.716
Wheat,18.822,80,8,47.119
Corn,18.953,80,6.75,75.529
Rice,18.41,80,6.75,24.413
Potato,7.092,80,6.25,0
Wheat,11.679,80,8,7.814
Corn,22.85,77.15,6.25,46.077
Rice,14.907,80,8,0
Potato,14.284,80,6.75,24.058
Wheat,11.215,80,6.25,7.612
Corn,11.144,80,6.5,13.586
Rice,23.639,76.361,6.75,56.038
Potato,15.026,80,8,28.056
Wheat,-2.391,80,6.75,0
Corn,19.464,80,6.75,70.813
Rice,9.898,80,6.5,0
Potato,7.384,80,5.5,0
Wheat,18.737,80,5.5,57.717
Corn,13.403,80,6.25,28.357
Rice,12.349,80,8,0
Potato,10.139,80,6.5,1.454
Wheat,7.197,80,6.75,0
Corn,4.447,80,6.25,0
Rice,26.872,73.128,5.5,49.701
Potato,19.665,80,6.25,65.842
Wheat,16.299,80,5.5,36.721
Corn,6.692,80,6.5,0
Rice,14.257,80,6.5,0
Potato,16.972,80,6.5,65.286
Wheat,13.749,80,6.25,25.239
Corn,3.848,80,6.75,0
Rice,8.947,80,6.75,0
Potato,23.21,76.79,6.25,49.447
Wheat,9.907,80,8,0
Corn,12.632,80,6.5,28.975
Rice,18.59,80,5.5,20.78
Potato,21.986,78.014,8,49.729
Wheat,7.221,80,6.75,0
Corn,18.877,80,6.5,87.451
Rice,1.516,80,6.75,0
Potato,21.943,78.057,6.5,58.081
Wheat,15.549,80,8,34.098
Corn,13.528,80,6.25,27.792
Rice,21.111,78.889,5.5,36.999
Potato,13.353,80,6.25,23.06
Wheat,15.832,80,5.5,31.896
Corn,16.668,80,6.75,30.627
Rice,25.776,74.224,6.75,59.362
Potato,28.804,71.196,6.75,6.368
Wheat,13.875,80,6.5,36.075
Corn,17.162,80,6.5,75.591
Rice,6.226,80,8,0
Potato,20.323,79.677,5.5,57.362
Wheat,16.335,80,6.75,35.673
Corn,15.61,80,6.25,45.099
Rice,10.904,80,8,0
Potato,19.339,80,8,47.219
Wheat,14.879,80,6.5,37.268
Corn,17.839,80,6.75,57.149
Rice,10.637,80,5.5,0
Potato,17.777,80,6.75,42.832
Wheat,13.133,80,6.75,19.601
Corn,20.243,79.757,6.5,103.749
Rice,26.787,73.213,8,51.407
Potato,21.619,78.381,6.5,63.761
Wheat,17.028,80,6.5,67.169
Corn,19.287,80,6.25,69.033
Rice,14.164,80,5.5,0
Potato,12.768,80,8,17.915
Wheat,25.102,74.898,6.25,29.294
Corn,21.915,78.085,8,51.588
Rice,18.391,80,6.25,33.127
Potato,18.214,80,6.25,60.468
Wheat,14.799,80,6.75,28.168
Corn,11.595,80,8,12.255
